time,battery
1721884420.101,56,
1721884421.096,56,
1721884422.115,56,
1721884423.641,56,
1721884424.621,56,
1721884425.126,55,
1721884427.105,55,
1721884428.591,55,
1721884429.094,55,
1721884430.096,55,
1721884431.571,55,
1721884433.068,55,
1721884434.566,55,
1721884435.063,55,
1721884436.544,55,
1721884437.043,55,
1721884438.034,55,
1721884439.507,55,
1721884441.019,55,
1721884442.004,55,
1721884442.976,55,
1721884444.011,55,
1721884445.013,55,
1721884446.021,55,
1721884447.004,55,
1721884447.992,55,
1721884449.493,55,
1721884449.983,55,
1721884452.477,55,
1721884455.02,55,
1721884456.019,55,
1721884457.006,55,
1721884458.013,55,
1721884459.029,55,
1721884460.026,55,
1721884461.544,55,
1721884462.541,55,
1721884463.032,55,
1721884464.551,55,
1721884465.06,55,
1721884466.061,55,
1721884467.064,55,
1721884468.042,55,
1721884469.047,55,
1721884470.541,55,
1721884471.53,55,
1721884472.041,55,
1721884473.028,55,
1721884474.042,55,
1721884476.046,55,
1721884479.057,55,
1721884480.045,55,
1721884481.02,55,
1721884482.536,55,
1721884483.539,55,
1721884484.543,55,
1721884485.538,55,
1721884486.036,55,
1721884487.535,55,
1721884488.548,55,
1721884490.054,55,
1721884491.53,55,
1721884492.505,55,
1721884493.487,55,
1721884493.988,55,
1721884494.974,55,
1721884496.983,55,
1721884497.987,55,
1721884498.968,55,
1721884499.963,55,
1721884501.469,55,
1721884502.481,55,
1721884502.967,55,
1721884504.466,55,
1721884504.968,55,
1721884507.492,55,
1721884507.991,55,
1721884509.493,55,
1721884509.98,55,
1721884510.986,55,
1721884511.964,55,
1721884512.982,55,
1721884513.978,55,
1721884514.963,55,
1721884516.446,55,
1721884517.455,55,
1721884517.96,55,
1721884518.962,55,
1721884519.932,55,
1721884521.452,55,
1721884521.973,55,
1721884522.969,55,
1721884524.961,55,
1721884526.928,55,
1721884528.414,55,
1721884528.904,55,
1721884529.897,55,
1721884530.89,55,
1721884531.892,55,
1721884532.885,55,
1721884534.373,55,
1721884534.858,55,
1721884535.859,55,
1721884536.847,55,
1721884537.854,55,
1721884538.849,55,
1721884539.869,55,
1721884540.862,55,
1721884541.846,55,
1721884542.811,55,
1721884543.823,55,
1721884545.352,55,
1721884545.857,55,
1721884546.868,55,
1721884548.369,55,
1721884548.855,55,
1721884550.324,55,
1721884550.815,55,
1721884552.81,55,
1721884553.783,55,
1721884555.798,55,
1721884556.768,55,
1721884558.275,55,
1721884558.782,55,
1721884560.289,55,
1721884560.789,55,
1721884561.789,55,
1721884562.79,55,
1721884564.257,55,
1721884564.743,55,
1721884565.731,55,
1721884568.673,55,
1721884569.672,55,
1721884570.691,55,
1721884571.693,55,
1721884572.703,55,
1721884573.686,55,
1721884577.717,55,
1721884578.719,55,
1721884581.249,55,
1721884581.743,55,
1721884582.751,55,
1721884583.752,55,
1721884584.768,55,
1721884585.756,55,
1721884587.73,55,
1721884586.74,55,
1721884588.768,55,
1721884589.782,55,
1721884590.782,55,
1721884591.778,55,
1721884592.774,55,
1721884593.754,55,
1721884595.246,55,
1721884595.745,55,
1721884597.25,55,
1721884597.738,55,
1721884598.722,55,
1721884599.726,55,
1721884600.734,55,
1721884601.698,55,
1721884602.662,55,
1721884603.669,55,
1721884605.163,55,
1721884605.659,55,
1721884607.136,55,
1721884608.642,55,
1721884609.668,55,
1721884610.673,55,
1721884611.685,55,
1721884612.664,55,
1721884613.689,55,
1721884614.689,55,
1721884615.705,55,
1721884616.73,55,
1721884617.711,55,
1721884618.719,55,
1721884620.206,55,
1721884620.709,55,
1721884621.698,55,
1721884622.701,55,
1721884623.692,55,
1721884624.697,55,
1721884625.721,55,
1721884627.699,55,
1721884628.685,55,
1721884631.14,55,
1721884631.646,55,
1721884632.632,55,
1721884633.632,55,
1721884634.617,55,
1721884635.615,55,
1721884636.612,55,
1721884638.1,55,
1721884639.1,55,
1721884640.097,55,
1721884640.59,55,
1721884642.116,55,
1721884643.104,55,
1721884643.6,55,
1721884644.57,55,
1721884646.051,55,
1721884646.55,55,
1721884647.552,55,
1721884648.544,55,
1721884649.541,55,
1721884651.03,55,
1721884652.523,55,
1721884654.016,55,
1721884655.024,55,
1721884656.53,55,
1721884658.047,55,
1721884658.545,55,
1721884659.54,55,
1721884661.029,55,
1721884662.503,55,
1721884663.507,55,
1721884664.499,55,
1721884665.473,55,
1721884666.467,55,
1721884667.46,55,
1721884669.441,55,
1721884670.414,55,
1721884671.382,55,
1721884672.392,55,
1721884673.398,55,
1721884674.387,55,
1721884675.363,55,
1721884677.333,55,
1721884678.846,55,
1721884679.34,55,
1721884680.349,55,
1721884681.349,55,
1721884682.359,55,
1721884683.819,55,
1721884684.31,55,
1721884685.3,55,
1721884686.309,55,
1721884687.332,55,
1721884688.327,55,
1721884689.329,55,
1721884690.317,55,
1721884691.818,55,
1721884693.317,55,
1721884694.334,55,
1721884695.317,55,
1721884696.33,55,
1721884697.342,55,
1721884698.872,55,
1721884699.356,55,
1721884700.347,55,
1721884702.345,55,
