time,heart_rate
1721884469.047,72,
1721884470.541,71,
1721884471.53,72,
1721884472.041,73,
1721884473.028,73,
1721884474.042,72,
1721884476.046,73,
1721884479.057,71,
1721884480.045,71,
1721884481.02,71,
1721884482.536,71,
1721884483.539,72,
1721884484.543,73,
1721884485.538,73,
1721884486.036,74,
1721884487.535,75,
1721884488.548,76,
1721884490.054,76,
1721884491.53,75,
1721884492.505,74,
1721884493.487,73,
1721884493.988,72,
1721884494.974,73,
1721884496.983,75,
1721884497.987,76,
1721884498.968,77,
1721884499.963,77,
1721884501.469,77,
1721884502.481,77,
1721884502.967,77,
1721884504.466,77,
1721884504.968,76,
1721884507.492,73,
1721884507.991,72,
1721884509.493,73,
1721884509.98,74,
1721884510.986,75,
1721884511.964,76,
1721884512.982,76,
1721884513.978,76,
1721884514.963,76,
1721884516.446,76,
1721884517.455,75,
1721884517.96,73,
1721884518.962,73,
1721884519.932,73,
1721884521.452,74,
1721884521.973,75,
1721884522.969,75,
1721884524.961,72,
1721884526.928,75,
1721884528.414,77,
1721884528.904,79,
1721884529.897,79,
1721884530.89,78,
1721884531.892,78,
1721884532.885,77,
1721884534.373,76,
1721884534.858,75,
1721884535.859,72,
1721884536.847,70,
1721884537.854,69,
1721884538.849,70,
1721884539.869,70,
1721884540.862,72,
1721884541.846,73,
1721884542.811,75,
1721884543.823,76,
1721884545.352,76,
1721884545.857,76,
1721884546.868,75,
1721884548.369,73,
1721884548.855,72,
1721884550.324,73,
1721884550.815,74,
1721884552.81,72,
1721884553.783,71,
1721884555.798,72,
1721884556.768,74,
1721884558.275,77,
1721884558.782,77,
1721884560.289,76,
1721884560.789,74,
1721884561.789,72,
1721884562.79,71,
1721884564.257,71,
1721884564.743,71,
1721884565.731,73,
1721884568.673,81,
1721884569.672,79,
1721884570.691,79,
1721884571.693,75,
1721884572.703,74,
1721884573.686,75,
1721884577.717,82,
1721884578.719,83,
1721884581.249,83,
1721884581.743,83,
1721884582.751,83,
1721884583.752,83,
1721884584.768,83,
1721884585.756,82,
