time,perfusion
1721884469.047,0.26,
1721884470.541,0.26,
1721884471.53,0.21,
1721884472.041,0.21,
1721884473.028,0.26,
1721884474.042,0.27,
1721884476.046,0.27,
1721884479.057,0.27,
1721884480.045,0.27,
1721884481.02,0.27,
1721884482.536,0.27,
1721884483.539,0.27,
1721884484.543,0.27,
1721884485.538,0.28,
1721884486.036,0.29,
1721884487.535,0.29,
1721884488.548,0.29,
1721884490.054,0.3,
1721884491.53,0.3,
1721884492.505,0.3,
1721884493.487,0.3,
1721884493.988,0.3,
1721884494.974,0.3,
1721884496.983,0.3,
1721884497.987,0.3,
1721884498.968,0.3,
1721884499.963,0.3,
1721884501.469,0.31,
1721884502.481,0.31,
1721884502.967,0.33,
1721884504.466,0.34,
1721884504.968,0.35,
1721884507.492,0.36,
1721884507.991,0.37,
1721884509.493,0.37,
1721884509.98,0.37,
1721884510.986,0.37,
1721884511.964,0.37,
1721884512.982,0.37,
1721884513.978,0.37,
1721884514.963,0.37,
1721884516.446,0.37,
1721884517.455,0.37,
1721884517.96,0.37,
1721884518.962,0.37,
1721884519.932,0.37,
1721884521.452,0.37,
1721884521.973,0.37,
1721884522.969,0.37,
1721884524.961,0.37,
1721884526.928,0.36,
1721884528.414,0.36,
1721884528.904,0.36,
1721884529.897,0.36,
1721884530.89,0.36,
1721884531.892,0.37,
1721884532.885,0.38,
1721884534.373,0.38,
1721884534.858,0.38,
1721884535.859,0.37,
1721884535.847,0.37,
1721884536.854,0.37,
1721884537.849,0.37,
1721884539.869,0.37,
1721884540.862,0.37,
1721884540.846,0.37,
1721884541.811,0.38,
1721884542.823,0.39,
1721884544.352,0.4,
1721884544.857,0.4,
1721884546.868,0.42,
1721884548.369,0.42,
1721884547.855,0.42,
1721884549.324,0.42,
1721884549.815,0.42,
1721884551.81,0.42,
1721884552.783,0.42,
1721884554.798,0.43,
1721884555.768,0.44,
1721884557.275,0.44,
1721884557.782,0.44,
1721884559.289,0.44,
1721884559.789,0.44,
1721884560.789,0.44,
1721884561.79,0.44,
1721884563.257,0.44,
1721884563.743,0.44,
1721884564.731,0.44,
1721884567.673,0.44,
1721884568.672,0.44,
1721884569.691,0.44,
1721884570.693,0.44,
1721884571.703,0.44,
1721884572.686,0.44,
1721884576.717,0.41,
1721884577.719,0.39,
1721884580.249,0.39,
1721884580.743,0.39,
1721884581.751,0.39,
1721884582.752,0.39,
1721884583.768,0.37,
1721884584.756,0.37,
1721884586.73,0.37,
1721884585.74,0.37,
1721884587.768,0.37,
1721884588.782,0.37,
1721884589.782,0.37,
1721884590.778,0.37,
1721884591.774,0.37,
1721884592.754,0.37,
1721884594.246,0.37,
1721884594.745,0.37,
1721884596.25,0.37,
1721884596.738,0.37,
1721884597.722,0.37,
1721884598.726,0.37,
1721884599.734,0.37,
1721884600.698,0.37,
1721884601.662,0.37,
1721884602.669,0.37,
1721884604.163,0.37,
1721884604.659,0.37,
1721884606.136,0.37,
1721884607.642,0.37,
1721884608.668,0.37,
1721884609.673,0.37,
1721884610.685,0.37,
1721884611.664,0.37,
1721884612.689,0.37,
1721884612.689,0.37,
1721884612.705,0.37,
1721884612.73,0.37,
1721884612.711,0.37,
1721884612.719,0.37,
1721884613.206,0.37,
1721884612.709,0.37,
1721884620.698,0.65,
1721884621.701,0.65,
1721884622.692,0.65,
1721884623.697,0.65,
1721884624.721,0.65,
1721884626.699,0.65,
1721884627.685,0.65,
1721884630.14,0.65,
1721884630.646,0.65,
1721884631.632,0.65,
1721884632.632,0.65,
1721884633.617,0.65,
1721884634.615,0.65,
1721884635.612,0.65,
1721884637.1,0.65,
1721884638.1,0.65,
1721884639.097,0.65,
1721884639.59,0.65,
1721884641.116,0.65,
1721884642.104,0.65,
1721884642.6,0.65,
1721884643.57,0.65,
1721884645.051,0.65,
1721884645.55,0.65,
1721884646.552,0.65,
1721884647.544,0.65,
1721884648.541,0.65,
1721884650.03,0.65,
1721884650.523,0.65,
1721884651.016,0.65,
1721884651.024,0.65,
1721884650.53,0.65,
1721884651.047,0.65,
1721884650.545,0.65,
1721884650.54,0.65,
1721884651.029,0.65,
1721884650.503,0.65,
1721884650.507,0.65,
1721884650.499,0.65,
1721884650.473,0.65,
1721884650.467,0.65,
1721884650.46,0.65,
1721884650.441,0.65,
1721884650.414,0.65,
1721884650.382,0.65,
1721884671.392,0.62,
1721884672.398,0.62,
1721884673.387,0.62,
1721884674.363,0.62,
1721884676.333,0.62,
1721884677.846,0.62,
1721884678.34,0.62,
1721884679.349,0.62,
1721884680.349,0.62,
1721884681.359,0.61,
1721884682.819,0.66,
1721884683.31,0.67,
1721884684.3,0.67,
1721884685.309,0.67,
1721884686.332,0.67,
1721884687.327,0.67,
1721884688.329,0.67,
1721884689.317,0.67,
1721884690.818,0.67,
1721884692.317,0.67,
1721884693.334,0.67,
1721884694.317,0.67,
1721884695.33,0.67,
1721884696.342,0.67,
1721884697.872,0.67,
1721884698.356,0.67,
1721884699.347,0.67,
1721884701.345,0.67,
1721884703.823,0.67,
1721884704.325,0.67,
1721884705.337,0.67,
1721884706.35,0.67,
1721884707.352,0.67,
1721884708.346,0.71,
1721884709.336,0.72,
1721884710.313,0.78,
1721884711.307,0.78,
1721884713.288,0.78,
1721884714.291,0.77,
1721884715.269,0.77,
1721884716.265,0.77,
1721884717.242,0.76,
1721884718.213,0.75,
1721884719.694,0.75,
1721884721.192,0.76,
1721884723.175,0.76,
1721884724.16,0.76,
1721884725.154,0.76,
1721884726.635,0.76,
1721884727.126,0.76,
1721884728.129,0.76,
1721884729.145,0.76,
1721884730.141,0.76,
1721884731.146,0.76,
1721884732.148,0.76,
1721884733.133,0.76,
1721884734.114,0.76,
1721884735.128,0.76,
1721884736.109,0.76,
1721884738.078,0.76,
1721884740.076,0.76,
1721884742.582,0.76,
1721884743.591,0.76,
1721884744.562,0.76,
1721884745.55,0.76,
1721884746.041,0.76,
1721884747.512,0.69,
1721884748.005,0.61,
1721884749.007,0.61,
1721884749.982,0.61,
1721884750.961,0.61,
1721884752.94,0.61,
1721884753.946,0.7,
1721884755.906,0.7,
1721884757.808,0.7,
1721884759.332,0.7,
1721884759.825,0.7,
1721884760.816,0.7,
1721884763.3,0.7,
1721884763.805,0.7,
1721884765.284,0.7,
1721884765.78,0.7,
1721884766.782,0.7,
1721884767.775,0.7,
1721884768.787,0.7,
1721884770.791,0.7,
1721884771.818,0.7,
1721884772.817,0.7,
1721884773.812,0.7,
1721884774.807,0.7,
1721884775.822,0.7,
1721884777.317,0.7,
1721884777.833,0.7,
1721884779.341,0.7,
1721884779.846,0.71,
1721884780.845,0.71,
1721884781.841,0.71,
1721884782.848,0.7,
1721884783.849,0.7,
1721884785.351,0.7,
1721884786.35,0.7,
1721884787.366,0.7,
1721884787.858,0.7,
1721884788.86,0.7,
1721884789.854,0.7,
1721884791.847,0.7,
1721884792.852,0.7,
1721884793.843,0.7,
1721884794.854,0.7,
1721884796.342,0.7,
1721884796.84,0.7,
1721884797.839,0.7,
1721884799.821,0.7,
1721884800.823,0.7,
1721884801.834,0.68,
1721884803.331,0.68,
1721884803.833,0.68,
1721884804.83,0.68,
1721884805.826,0.68,
1721884807.321,0.68,
1721884807.82,0.68,
1721884808.825,0.68,
1721884809.815,0.68,
1721884810.814,0.68,
1721884812.312,0.68,
1721884813.32,0.68,
1721884814.791,0.68,
1721884815.777,0.68,
1721884816.779,0.68,
1721884818.286,0.68,
1721884818.785,0.68,
1721884819.801,0.68,
1721884820.822,0.68,
1721884821.82,0.68,
1721884822.791,0.68,
1721884824.776,0.68,
1721884826.779,0.58,
1721884828.271,0.58,
1721884829.295,0.58,
1721884829.788,0.58,
1721884831.305,0.58,
1721884831.81,0.58,
1721884832.837,0.58,
1721884833.826,0.58,
1721884834.822,0.58,
1721884835.812,0.58,
1721884837.288,0.58,
1721884838.775,0.58,
1721884839.252,0.58,
1721884839.738,0.58,
1721884841.25,0.58,
1721884841.764,0.58,
1721884842.765,0.58,
1721884844.271,0.44,
1721884845.748,0.44,
1721884846.742,0.44,
1721884848.728,0.44,
1721884852.724,0.44,
1721884855.165,0.44,
1721884855.66,0.44,
1721884856.662,0.44,
1721884857.655,0.44,
1721884859.136,0.44,
1721884859.64,0.44,
1721884860.648,0.34,
1721884862.607,0.38,
1721884864.104,0.38,
1721884865.096,0.38,
1721884865.602,0.38,
1721884867.125,0.38,
1721884867.628,0.38,
1721884868.624,0.38,
1721884869.623,0.38,
1721884871.104,0.38,
1721884871.603,0.38,
1721884872.598,0.38,
1721884874.078,0.38,
1721884874.582,0.38,
1721884877.089,0.38,
1721884877.597,0.38,
1721884878.61,0.38,
1721884879.608,0.38,
1721884881.102,0.38,
1721884881.608,0.38,
1721884883.081,0.38,
1721884883.577,0.38,
1721884884.574,0.38,
1721884885.572,0.38,
1721884886.588,0.38,
1721884887.574,0.38,
1721884889.569,0.38,
1721884891.045,0.38,
1721884891.042,0.38,
1721884890.553,0.38,
1721884890.548,0.38,
1721884891.026,0.38,
1721884891.017,0.38,
1721884890.509,0.38,
1721884891.008,0.38,
1721884890.494,0.38,
1721884890.474,0.38,
1721884890.944,0.38,
1721884890.432,0.38,
1721884890.423,0.38,
1721884890.945,0.38,
1721884890.447,0.38,
1721884908.447,0.5,
1721884909.924,0.5,
1721884910.927,0.5,
1721884911.409,0.5,
1721884912.876,0.5,
1721884913.375,0.5,
1721884914.862,0.5,
1721884916.868,0.5,
1721884917.863,0.5,
1721884918.848,0.54,
1721884919.816,0.54,
1721884920.321,0.54,
1721884921.302,0.54,
1721884923.309,0.54,
1721884924.298,0.54,
1721884925.294,0.54,
1721884926.775,0.52,
1721884927.27,0.52,
1721884928.763,0.52,
1721884929.267,0.52,
1721884930.262,0.52,
1721884931.772,0.52,
1721884932.259,0.52,
1721884933.271,0.52,
1721884935.271,0.52,
1721884936.273,0.52,
1721884937.241,0.52,
1721884938.243,0.52,
1721884939.228,0.5,
1721884940.744,0.5,
1721884941.734,0.5,
1721884942.223,0.5,
1721884943.22,0.5,
1721884944.212,0.5,
1721884945.684,0.5,
1721884946.679,0.5,
1721884947.7,0.5,
1721884948.2,0.5,
1721884949.2,0.5,
1721884950.189,0.5,
1721884951.188,0.29,
1721884953.177,0.29,
1721884954.157,0.29,
1721884956.144,0.29,
1721884957.16,0.29,
1721884958.645,0.29,
1721884959.657,0.29,
1721884960.158,0.32,
1721884961.173,0.31,
1721884962.185,0.31,
1721884964.175,0.32,
1721884965.176,0.32,
1721884966.191,0.32,
1721884967.181,0.32,
1721884968.182,0.32,
1721884969.691,0.32,
1721884970.678,0.32,
1721884971.18,0.32,
1721884972.177,0.32,
1721884973.169,0.32,
1721884974.159,0.32,
1721884975.643,0.32,
1721884976.624,0.32,
1721884978.103,0.32,
1721884979.56,0.32,
1721884980.064,0.32,
1721884981.054,0.33,
1721884982.027,0.33,
1721884984.02,0.33,
1721884983.523,0.33,
1721884986.042,0.33,
1721884987.544,0.33,
1721884988.039,0.33,
1721884989.027,0.33,
1721884990.006,0.33,
1721884992.498,0.33,
1721884991.999,0.33,
1721884993.0,0.33,
1721884993.995,0.33,
1721884995.492,0.33,
1721884996.98,0.33,
1721884997.976,0.33,
1721884998.963,0.33,
1721885000.453,0.33,
1721885000.944,0.33,
1721885001.926,0.4,
1721885003.926,0.4,
1721885004.919,0.4,
1721885006.898,0.41,
1721885008.382,0.41,
1721885008.881,0.41,
1721885010.899,0.41,
1721885012.38,0.41,
1721885013.888,0.41,
1721885015.346,0.41,
1721885015.844,0.41,
1721885016.824,0.54,
1721885017.815,0.54,
1721885018.809,0.6,
1721885020.293,0.6,
1721885020.8,0.6,
1721885022.3,0.6,
1721885022.803,0.6,
1721885024.296,0.6,
1721885024.795,0.6,
1721885026.275,0.6,
1721885027.777,0.6,
1721885030.282,0.6,
1721885030.785,0.6,
1721885031.782,0.6,
1721885032.779,0.6,
1721885033.771,0.6,
1721885034.777,0.6,
1721885035.769,0.6,
1721885036.783,0.6,
1721885037.776,0.6,
1721885038.79,0.6,
1721885039.77,0.6,
1721885040.773,0.6,
1721885040.758,0.6,
1721885042.253,0.6,
1721885043.254,0.6,
1721885043.764,0.6,
1721885045.267,0.6,
1721885046.764,0.4,
1721885046.758,0.4,
1721885049.239,0.4,
1721885049.739,0.4,
1721885050.751,0.4,
1721885053.262,0.4,
1721885052.758,0.4,
1721885053.76,0.4,
1721885056.721,0.4,
1721885057.711,0.4,
1721885058.711,0.4,
1721885059.725,0.4,
1721885060.744,0.4,
1721885061.727,0.4,
1721885062.717,0.4,
1721885064.227,0.4,
1721885065.236,0.4,
1721885065.74,0.4,
1721885068.244,0.4,
1721885069.259,0.4,
1721885069.739,0.4,
1721885070.759,0.4,
1721885071.757,0.4,
1721885073.78,0.4,
1721885074.244,0.4,
1721885075.223,0.4,
1721885076.706,0.4,
1721885077.689,0.4,
1721885077.696,0.4,
1721885077.69,0.4,
1721885077.688,0.4,
1721885077.691,0.4,
1721885077.68,0.4,
1721885084.187,0.41,
1721885084.686,0.41,
1721885085.667,0.41,
1721885087.167,0.41,
1721885088.141,0.41,
1721885088.666,0.41,
1721885090.631,0.41,
1721885091.661,0.41,
1721885093.157,0.4,
1721885093.66,0.4,
1721885094.638,0.4,
1721885096.124,0.36,
1721885096.626,0.4,
1721885097.611,0.4,
1721885099.147,0.4,
1721885100.132,0.4,
1721885101.613,0.4,
1721885102.57,0.4,
1721885104.055,0.4,
1721885104.564,0.4,
1721885105.548,0.4,
1721885107.052,0.4,
1721885107.548,0.4,
1721885109.045,0.4,
1721885109.549,0.4,
1721885110.527,0.4,
1721885111.51,0.4,
1721885112.499,0.4,
1721885113.983,0.4,
1721885114.484,0.4,
1721885115.482,0.4,
1721885117.003,0.4,
1721885117.505,0.4,
1721885118.496,0.4,
1721885119.5,0.4,
1721885120.491,0.4,
1721885121.49,0.4,
1721885124.011,0.4,
1721885124.505,0.4,
1721885126.499,0.54,
1721885127.499,0.54,
1721885129.006,0.54,
