time,ppg_med
1721884419.087,53.0,
1721884419.112,64.0,
1721884419.1369998,62.0,
1721884419.162,14.0,
1721884419.1869998,-89.0,
1721884419.212,-212.0,
1721884419.237,-294.0,
1721884419.2619998,-302.0,
1721884419.287,-251.0,
1721884419.3119998,-192.0,
1721884419.337,-161.0,
1721884419.362,-150.0,
1721884419.3869998,-126.0,
1721884419.412,-73.0,
1721884419.4369998,-3.0,
1721884419.462,59.0,
1721884419.487,101.0,
1721884419.512,133.0,
1721884419.537,165.0,
1721884419.562,194.0,
1721884419.587,207.0,
1721884419.612,198.0,
1721884419.637,177.0,
1721884419.662,161.0,
1721884419.687,160.0,
1721884419.712,167.0,
1721884419.737,169.0,
1721884419.762,158.0,
1721884419.787,140.0,
1721884419.812,125.0,
1721884419.837,121.0,
1721884419.862,123.0,
1721884419.8869998,126.0,
1721884419.912,127.0,
1721884419.9369998,132.0,
1721884419.962,146.0,
1721884419.9869998,166.0,
1721884420.0119998,181.0,
1721884420.037,182.0,
1721884420.0619998,168.0,
1721884420.087,147.0,
1721884420.1119998,123.0,
1721884420.1369998,90.0,
1721884420.162,40.0,
1721884420.1869998,-21.0,
1721884420.212,-73.0,
1721884420.2369998,-93.0,
1721884420.2619998,-79.0,
1721884420.287,-52.0,
1721884420.312,-43.0,
1721884420.337,-66.0,
1721884420.362,-112.0,
1721884420.3869998,-159.0,
1721884420.412,-183.0,
1721884420.437,-181.0,
1721884420.462,-161.0,
1721884420.487,-139.0,
1721884420.5119998,-123.0,
1721884420.537,-113.0,
1721884420.562,-106.0,
1721884420.587,-98.0,
1721884420.612,-91.0,
1721884420.6369998,-88.0,
1721884420.662,-91.0,
1721884420.687,-94.0,
1721884420.7120001,-92.0,
1721884420.737,-85.0,
1721884420.762,-74.0,
1721884420.787,-65.0,
1721884420.812,-57.0,
1721884420.8370001,-46.0,
1721884420.862,-29.0,
1721884420.887,-9.0,
1721884420.912,9.0,
1721884420.937,19.0,
1721884420.9620001,18.0,
1721884420.987,8.0,
1721884421.012,-9.0,
1721884421.037,-28.0,
1721884421.062,-39.0,
1721884421.087,-41.0,
1721884421.112,-35.0,
1721884421.1369998,-32.0,
1721884421.162,-38.0,
1721884421.1869998,-56.0,
1721884421.212,-78.0,
1721884421.237,-97.0,
1721884421.2619998,-111.0,
1721884421.287,-118.0,
1721884421.3119998,-119.0,
1721884421.337,-115.0,
1721884421.362,-106.0,
1721884421.3869998,-93.0,
1721884421.412,-70.0,
1721884421.4369998,-28.0,
1721884421.462,38.0,
1721884421.487,121.0,
1721884421.512,195.0,
1721884421.537,238.0,
1721884421.562,240.0,
1721884421.587,212.0,
1721884421.612,179.0,
1721884421.637,158.0,
1721884421.662,152.0,
1721884421.687,153.0,
1721884421.712,148.0,
1721884421.737,133.0,
1721884421.762,114.0,
1721884421.787,96.0,
1721884421.812,82.0,
1721884421.837,69.0,
1721884421.862,47.0,
1721884421.8869998,10.0,
1721884421.912,-35.0,
1721884421.9369998,-70.0,
1721884421.962,-74.0,
1721884421.9869998,-40.0,
1721884422.0119998,18.0,
1721884422.037,76.0,
1721884422.0619998,114.0,
1721884422.087,124.0,
1721884422.1119998,112.0,
1721884422.1369998,83.0,
1721884422.162,43.0,
1721884422.1869998,-2.0,
1721884422.212,-45.0,
1721884422.2369998,-73.0,
1721884422.2619998,-82.0,
1721884422.287,-77.0,
1721884422.312,-71.0,
1721884422.337,-72.0,
1721884422.362,-80.0,
1721884422.3869998,-84.0,
1721884422.412,-80.0,
1721884422.437,-70.0,
1721884422.462,-63.0,
1721884422.487,-66.0,
1721884422.5119998,-74.0,
1721884422.537,-79.0,
1721884422.562,-73.0,
1721884422.587,-60.0,
1721884422.612,-47.0,
1721884422.6369998,-38.0,
1721884422.662,-30.0,
1721884422.687,-17.0,
1721884422.7120001,1.0,
1721884422.737,19.0,
1721884422.762,30.0,
1721884422.787,30.0,
1721884422.812,23.0,
1721884422.8370001,13.0,
1721884422.862,5.0,
1721884422.887,3.0,
1721884422.912,12.0,
1721884422.937,29.0,
1721884422.9620001,48.0,
1721884422.987,59.0,
1721884423.012,58.0,
1721884423.037,50.0,
1721884423.062,41.0,
1721884423.087,32.0,
1721884423.112,21.0,
1721884423.1369998,5.0,
1721884423.162,-9.0,
1721884423.1869998,-9.0,
1721884423.212,3.0,
1721884423.237,16.0,
1721884423.2619998,21.0,
1721884423.287,16.0,
1721884423.3119998,11.0,
1721884423.337,14.0,
1721884423.362,19.0,
1721884423.3869998,15.0,
1721884423.412,0.0,
1721884423.4369998,-15.0,
1721884423.462,-19.0,
1721884423.487,-13.0,
1721884423.512,-7.0,
1721884423.537,-11.0,
1721884423.562,-19.0,
1721884423.587,-19.0,
1721884423.612,-5.0,
1721884423.637,14.0,
1721884423.662,23.0,
1721884423.687,17.0,
1721884423.712,2.0,
1721884423.737,-10.0,
