time,quality_max
1721884469.047,55,
1721884470.541,65,
1721884471.53,79,
1721884472.041,81,
1721884473.028,81,
1721884474.042,83,
1721884476.046,83,
1721884479.057,83,
1721884480.045,80,
1721884481.02,78,
1721884482.536,80,
1721884483.539,80,
1721884484.543,80,
1721884485.538,80,
1721884486.036,80,
1721884487.535,81,
1721884488.548,81,
1721884490.054,81,
1721884491.53,81,
1721884492.505,81,
1721884493.487,81,
1721884493.988,79,
1721884494.974,79,
1721884496.983,79,
1721884497.987,79,
1721884498.968,72,
1721884499.963,70,
1721884501.469,70,
1721884502.481,73,
1721884502.967,73,
1721884504.466,73,
1721884504.968,73,
1721884507.492,84,
1721884507.991,84,
1721884509.493,84,
1721884509.98,84,
1721884510.986,84,
1721884511.964,84,
1721884512.982,83,
1721884513.978,85,
1721884514.963,85,
1721884516.446,85,
1721884517.455,85,
1721884517.96,85,
1721884518.962,85,
1721884519.932,80,
1721884521.452,77,
1721884521.973,69,
1721884522.969,63,
1721884524.961,66,
1721884526.928,66,
1721884528.414,66,
1721884528.904,73,
1721884529.897,73,
1721884530.89,83,
1721884531.892,83,
1721884532.885,83,
1721884534.373,83,
1721884534.858,83,
1721884535.859,83,
1721884536.847,85,
1721884537.854,85,
1721884538.849,85,
1721884539.869,85,
1721884540.862,85,
1721884541.846,85,
1721884542.811,85,
1721884543.823,84,
1721884545.352,84,
1721884545.857,84,
1721884546.868,84,
1721884548.369,84,
1721884548.855,84,
1721884550.324,81,
1721884550.815,81,
1721884552.81,81,
1721884553.783,80,
1721884555.798,80,
1721884556.768,80,
1721884558.275,80,
1721884558.782,80,
1721884560.289,79,
1721884560.789,79,
1721884561.789,81,
1721884562.79,82,
1721884564.257,82,
1721884564.743,82,
1721884565.731,82,
1721884568.673,82,
1721884569.672,74,
1721884570.691,67,
1721884571.693,67,
1721884572.703,67,
1721884573.686,67,
1721884577.717,67,
1721884578.719,67,
1721884581.249,74,
1721884581.743,75,
1721884582.751,75,
1721884583.752,75,
1721884584.768,75,
1721884585.756,76,
1721884587.73,80,
1721884586.74,77,
1721884588.768,80,
1721884589.782,80,
1721884590.782,80,
1721884591.778,80,
1721884592.774,80,
1721884593.754,78,
1721884595.246,72,
1721884595.745,72,
1721884597.25,63,
1721884597.738,49,
1721884598.722,48,
1721884599.726,48,
1721884600.734,44,
1721884601.698,40,
1721884602.662,39,
1721884603.669,45,
1721884605.163,51,
1721884605.659,59,
1721884607.136,59,
1721884608.642,60,
1721884609.668,60,
1721884610.673,66,
1721884611.685,66,
1721884612.664,66,
1721884613.689,66,
1721884614.689,66,
1721884615.705,66,
1721884616.73,59,
1721884617.711,55,
1721884618.719,55,
1721884620.206,55,
1721884620.709,55,
1721884621.698,72,
1721884622.701,72,
1721884623.692,72,
1721884624.697,72,
1721884625.721,72,
1721884627.699,79,
1721884628.685,79,
1721884631.14,79,
