time,tech_perfusion
1721884420.101,8.32,
1721884421.096,1.25,
1721884422.115,4.05,
1721884423.641,0.85,
1721884424.621,0.32,
1721884425.126,0.32,
1721884427.105,1.08,
1721884428.591,73.68,
1721884429.094,183.81,
1721884430.096,26.07,
1721884431.571,31.98,
1721884433.068,2.17,
1721884434.566,36.73,
1721884435.063,99.07,
1721884436.544,122.43,
1721884437.043,43.77,
1721884438.034,20.55,
1721884439.507,34.14,
1721884441.019,43.23,
1721884442.004,27.4,
1721884442.976,46.87,
1721884444.011,17.88,
1721884445.013,8.25,
1721884446.021,2.9699999999999998,
1721884447.004,2.48,
1721884447.992,1.85,
1721884449.493,7.89,
1721884449.983,0.68,
1721884452.477,0.47,
1721884455.02,6.36,
1721884456.019,5.14,
1721884457.006,0.45,
1721884458.013,0.72,
1721884459.029,0.72,
1721884460.026,3.43,
1721884461.544,0.77,
1721884462.541,1.22,
1721884463.032,1.43,
1721884464.551,0.26,
1721884465.06,0.33,
1721884466.061,0.27,
1721884467.064,0.27,
1721884468.042,0.26,
1721884469.047,0.25,
1721884470.541,0.25,
1721884471.53,0.27,
1721884472.041,0.27,
1721884473.028,0.23,
1721884474.042,0.27,
1721884476.046,0.29,
1721884479.057,0.3,
1721884480.045,0.31,
1721884481.02,0.31,
1721884482.536,0.26,
1721884483.539,0.3,
1721884484.543,0.3,
1721884485.538,0.31,
1721884486.036,0.28,
1721884487.535,0.31,
1721884488.548,0.33,
1721884490.054,0.32,
1721884491.53,0.29,
1721884492.505,0.32,
1721884493.487,0.32,
1721884493.988,0.52,
1721884494.974,0.29,
1721884496.983,0.36,
1721884497.987,0.35,
1721884498.968,0.3,
1721884499.963,0.39,
1721884501.469,0.44,
1721884502.481,0.44,
1721884502.967,0.37,
1721884504.466,0.41,
1721884504.968,0.39,
1721884507.492,0.32,
1721884507.991,0.37,
1721884509.493,0.36,
1721884509.98,0.36,
1721884510.986,0.31,
1721884511.964,0.35,
1721884512.982,0.35,
1721884513.978,0.4,
1721884514.963,0.22,
1721884516.446,0.31,
1721884517.455,0.39,
1721884517.96,0.28,
1721884518.962,0.27,
1721884519.932,0.27,
1721884521.452,0.43,
1721884521.973,0.33,
1721884522.969,0.33,
1721884524.961,0.37,
1721884526.928,0.31,
1721884528.414,0.43,
1721884528.904,0.43,
1721884529.897,0.39,
1721884530.89,0.38,
1721884531.892,0.42,
1721884532.885,0.42,
1721884534.373,0.41,
1721884534.858,0.38,
1721884535.859,0.37,
1721884536.847,0.37,
1721884537.854,0.37,
1721884538.849,0.34,
1721884539.869,0.43,
1721884540.862,0.42,
1721884541.846,0.45,
1721884542.811,0.44,
1721884543.823,0.35,
1721884545.352,0.42,
1721884545.857,0.45,
1721884546.868,0.54,
1721884548.369,0.54,
1721884548.855,0.47,
1721884550.324,0.37,
1721884550.815,0.37,
1721884552.81,0.41,
1721884553.783,0.44,
1721884555.798,0.46,
1721884556.768,0.45,
1721884558.275,0.46,
1721884558.782,0.38,
1721884560.289,0.4,
1721884560.789,0.4,
1721884561.789,0.36,
1721884562.79,0.47,
1721884564.257,0.47,
1721884564.743,0.53,
1721884565.731,0.78,
1721884568.673,0.24,
1721884569.672,0.18,
1721884570.691,0.17,
1721884571.693,0.25,
1721884572.703,0.34,
1721884573.686,0.32,
1721884577.717,0.38,
