time,temperature
1721884420.101,27.37,
1721884421.096,27.37,
1721884422.115,27.37,
1721884423.641,27.37,
1721884424.621,27.37,
1721884425.126,28.86,
1721884427.105,28.86,
1721884428.591,28.86,
1721884429.094,28.86,
1721884430.096,28.86,
1721884431.571,28.86,
1721884433.068,28.86,
1721884434.566,28.86,
1721884435.063,29.28,
1721884436.544,29.28,
1721884437.043,29.28,
1721884438.034,29.28,
1721884439.507,29.28,
1721884441.019,29.28,
1721884442.004,29.28,
1721884442.976,29.28,
1721884444.011,29.28,
1721884445.013,34.46,
1721884446.021,34.46,
1721884447.004,34.46,
1721884447.992,34.46,
1721884449.493,34.46,
1721884449.983,34.46,
1721884452.477,34.46,
1721884455.02,34.06,
1721884456.019,34.06,
1721884457.006,34.06,
1721884458.013,34.06,
1721884459.029,34.06,
1721884460.026,34.06,
1721884461.544,34.06,
1721884462.541,34.06,
1721884463.032,34.06,
1721884464.551,34.06,
1721884465.06,34.47,
1721884466.061,34.47,
1721884467.064,34.47,
1721884468.042,34.47,
1721884469.047,34.47,
1721884470.541,34.47,
1721884471.53,34.47,
1721884472.041,34.47,
1721884473.028,34.47,
1721884474.042,34.47,
1721884476.046,34.98,
1721884479.057,34.98,
1721884480.045,34.98,
1721884481.02,34.98,
1721884482.536,34.98,
1721884483.539,34.98,
1721884484.543,34.98,
1721884485.538,35.07,
1721884486.036,35.07,
1721884487.535,35.07,
1721884488.548,35.07,
1721884490.054,35.07,
1721884491.53,35.07,
1721884492.505,35.07,
1721884493.487,35.07,
1721884493.988,35.07,
1721884494.974,35.07,
1721884496.983,35.32,
1721884497.987,35.32,
1721884498.968,35.32,
1721884499.963,35.32,
1721884501.469,35.32,
1721884502.481,35.32,
1721884502.967,35.32,
1721884504.466,35.32,
1721884504.968,35.32,
1721884507.492,35.41,
1721884507.991,35.41,
1721884509.493,35.41,
1721884509.98,35.41,
1721884510.986,35.41,
1721884511.964,35.41,
1721884512.982,35.41,
1721884513.978,35.41,
1721884514.963,35.41,
1721884516.446,35.54,
1721884517.455,35.54,
1721884517.96,35.54,
1721884518.962,35.54,
1721884519.932,35.54,
1721884521.452,35.54,
1721884521.973,35.54,
