time,vital_packet_counter
1721884420.101,5,
1721884421.096,6,
1721884422.115,7,
1721884423.641,8,
1721884424.621,9,
1721884425.126,10,
1721884427.105,12,
1721884428.591,13,
1721884429.094,14,
1721884430.096,15,
1721884431.571,16,
1721884433.068,18,
1721884434.566,19,
1721884435.063,20,
1721884436.544,21,
1721884437.043,22,
1721884438.034,23,
1721884439.507,24,
1721884441.019,26,
1721884442.004,27,
1721884442.976,28,
1721884444.011,29,
1721884445.013,30,
1721884446.021,31,
1721884447.004,32,
1721884447.992,33,
1721884449.493,34,
1721884449.983,35,
1721884452.477,37,
1721884455.02,40,
1721884456.019,41,
1721884457.006,42,
1721884458.013,43,
1721884459.029,44,
1721884460.026,45,
1721884461.544,46,
1721884462.541,47,
1721884463.032,48,
1721884464.551,49,
1721884465.06,50,
1721884466.061,51,
1721884467.064,52,
1721884468.042,53,
1721884469.047,54,
1721884470.541,55,
1721884471.53,56,
1721884472.041,57,
1721884473.028,58,
1721884474.042,59,
1721884476.046,61,
1721884479.057,64,
1721884480.045,65,
1721884481.02,66,
1721884482.536,67,
1721884483.539,68,
1721884484.543,69,
1721884485.538,70,
1721884486.036,71,
1721884487.535,72,
1721884488.548,73,
1721884490.054,75,
1721884491.53,76,
1721884492.505,77,
1721884493.487,78,
1721884493.988,79,
1721884494.974,80,
1721884496.983,82,
1721884497.987,83,
1721884498.968,84,
1721884499.963,85,
1721884501.469,86,
1721884502.481,87,
1721884502.967,88,
1721884504.466,89,
1721884504.968,90,
1721884507.492,92,
1721884507.991,93,
1721884509.493,94,
1721884509.98,95,
1721884510.986,96,
1721884511.964,97,
1721884512.982,98,
1721884513.978,99,
1721884514.963,100,
1721884516.446,101,
1721884517.455,102,
1721884517.96,103,
1721884518.962,104,
1721884519.932,105,
1721884521.452,106,
1721884521.973,107,
1721884522.969,108,
1721884524.961,110,
1721884526.928,112,
1721884528.414,113,
1721884528.904,114,
1721884529.897,115,
1721884530.89,116,
1721884531.892,117,
1721884532.885,118,
1721884534.373,119,
1721884534.858,120,
1721884535.859,121,
1721884536.847,122,
1721884537.854,123,
1721884538.849,124,
1721884539.869,125,
1721884540.862,126,
1721884541.846,127,
1721884542.811,128,
1721884543.823,129,
1721884545.352,130,
1721884545.857,131,
1721884546.868,132,
1721884548.369,133,
1721884548.855,134,
1721884550.324,135,
1721884550.815,136,
1721884552.81,138,
1721884553.783,139,
1721884555.798,141,
1721884556.768,142,
1721884558.275,143,
1721884558.782,144,
1721884560.289,145,
1721884560.789,146,
1721884561.789,147,
1721884562.79,148,
1721884564.257,149,
1721884564.743,150,
1721884565.731,151,
1721884568.673,154,
1721884569.672,155,
1721884570.691,156,
1721884571.693,157,
1721884572.703,158,
1721884573.686,159,
1721884577.717,163,
1721884578.719,164,
1721884581.249,166,
1721884581.743,167,
1721884582.751,168,
1721884583.752,169,
1721884584.768,170,
1721884585.756,171,
1721884587.73,173,
1721884586.74,172,
1721884588.768,174,
1721884589.782,175,
1721884590.782,176,
1721884591.778,177,
1721884592.774,178,
1721884593.754,179,
1721884595.246,180,
1721884595.745,181,
1721884597.25,182,
1721884597.738,183,
1721884598.722,184,
1721884599.726,185,
1721884600.734,186,
1721884601.698,187,
1721884602.662,188,
1721884603.669,189,
1721884605.163,190,
1721884605.659,191,
1721884607.136,192,
1721884608.642,194,
